JobTitle,Company,StartDate,Duration_yr,JobType
"Vice President, Operations & Financial Advice","LearnVest, Inc.",2014/6,0.457915246363,Other
Structural Engineer,Robert Silman Associates,2014/4,0.625038534034,Engineer
Instructor,Massachusetts Institute of Technology (MIT),2012/1,2.87435360253,Academia
PhD Candidate,Massachusetts Institute of Technology (MIT),2010/9,4.20860017787,Student
Health Graduate Fellow,Congressional Hispanic Caucus Institute (CHCI),2014/8,0.290791958691,Other
Alumni Relations Liaison,Sage Hill School,2014/1,0.8716138765,Other
Director of Growth & Partnerships,Zipfian Academy,2013/8,1.29079195869,Other
Associate Project Manager,UChicagoTech | The University of Chicago,2014/9,0.205860451842,PM
Facilitator and Consultant,Carmel Leadership Training,2014/3,0.709970040883,Consultant
Instructor,Stanford Continuing Studies Program,2013/9,1.20586045184,Academia
"Founder, Executive and Leadership Development Coach",Carmel Executive Coaching,2006/10,8.12914812307,Founder
"Executive Coach, Senior Facilitator, Graduate School of Business (GSB)",Stanford University,2006/1,8.87709332855,Other
Little Bit o' Everything,Stripe,2014/6,0.457915246363,Other
Associate Attorney,Locke Lord LLP,2013/9,1.20586045184,Other
Intellectual Property Marketing Analyst,UC Davis,2013/7,1.37572346554,Other
Research Fellow,"Singapore Institute for Clinical Sciences, A*STAR",2012/1,2.87435360253,Research
"Biology, Chemistry, Environmental Science Teacher at El Cerrito High School",West Contra Costa Unified School District,2011/8,3.29353168472,Scientist
Cofounder & CEO,GameThrive,2014/1,0.8716138765,Founder
Founder & CEO,Hiptic Games,2011/1,3.87435360253,Founder
Web Security Specialist,Solutionite,2008/1,6.87709332855,Other
Lecturer,Washington University in St. Louis,2010/1,4.87435360253,Academia
"Assistant Director, PreGraduate School and Career Development",Washington University in St. Louis,2006/2,8.79216182171,Assistant
User Experience Research,Google,2011/9,3.20860017787,Research
"Founder, CEO",Karma Compass,2010/1,4.87435360253,Founder
Fellow,Icahn School of Medicine at Mount Sinai,2013/12,0.956545383349,Other
Data Sciences Engineer,Sumo Logic,2014/4,0.625038534034,Engineer
PhD candidate,Stanford University,2011/1,3.87435360253,Student
PhD Student,Stanford University School of Medicine,2012/9,2.20586045184,Student
Co-Founder & CEO,Truthly,2014/3,0.709970040883,Founder
Associate,Vista Equity Partners,2012/7,2.37572346554,Other
Chief Medical Officer,GestInTime,2013/7,1.37572346554,Other
www.CatchTheBaby.com,Documentary Film,2008/8,6.29353168472,Other
Ob/Gyn Physician,"Private Practice in Palo Alto, CA",1998/7,16.3866823697,Scientist
"Trade Marketing, Sales Strategy",Anheuser-Busch InBev,2014/6,0.457915246363,Other
Ph.D. Student in Computer Science,Stanford University,2010/9,4.20860017787,Student
Associate User Experience Researcher,LinkedIn,2014/5,0.542846753212,Research
Sr. Account Executive,7thonline,2014/7,0.375723465541,Other
Gradute Student,Stanford University School of Medicine,2013/3,1.70997004088,Student
Consultant,"Inscopix, Inc.",2013/10,1.12366867102,Consultant
Analyst,US Government Accountability Office,2013/12,0.956545383349,Other
Ph.D. Candidate,"Stanford University School of Medicine, Department of Surgery",2012/7,2.37572346554,Other
M.D. Candidate,Stanford Hospital & Clinics,2010/8,4.29353168472,Other
UC President's Postdoctoral Fellow,UC Berkeley,2014/9,0.205860451842,Postdoc
MAP Climate and Energy Fellow,National Audubon Society,2014/6,0.457915246363,Other
Assistant Professor,University of Michigan,2013/12,0.956545383349,Academia
Medical Advocate,YWCA of Metropolitan Chicago,2013/5,1.54284675321,Other
Associate Consultant,Blue Cross and Blue Shield Association,2012/8,2.29079195869,Consultant
Graduate Student,Stanford University School of Medicine,2008/9,6.20860017787,Student
Account Coordinator,Benson Marketing Group,2014/4,0.625038534034,Other
Writer,Bottlenotes,2013/4,1.62503853403,Other
Graduate Research Assistant with the David Relman Lab,Stanford University,2012/6,2.45791524636,Research
Assistant Director of Graduate Career Development,"University of Illinois at Urbana-Champaign, Graduate College",2011/8,3.29353168472,Assistant
Investigator II,Novartis,2013/9,1.20586045184,Other
Senior Designer,Acosta Design,2013/4,1.62503853403,Designer
Certified Productive Environment Specialist,Productive Environment Institute,2011/1,3.87435360253,Other
Professional Organizer & Productivity Consultant,More Time For You,1995/12,18.9702440135,Consultant
Founder & CEO,BestParking.com,2005/7,9.3812029176,Founder
PhD Candidate at Stanford in Genetics,Stanford University School of Medicine,2009/9,5.20860017787,Student
Founder & CEO,Benchling,2012/6,2.45791524636,Founder
Postdoctoral Fellow,"Stanford University, Department of Chemical and Systems Biology",2012/9,2.20586045184,Postdoc
Assistant Director for Graduate Education,Stanford University School of Medicine,2013/5,1.54284675321,Assistant
Diversity Recruitment and Engagement,Stanford University,2010/10,4.12640839705,Other
Scientist,Pacific Biosciences,2014/1,0.8716138765,Scientist
Co-founder and Advisor,LumosTech,2013/9,1.20586045184,Founder
"Postdoctoral Fellow, Chemical Biology","University of California, San Francisco",2014/1,0.8716138765,Postdoc
Senior Data Analyst,ModCloth,2014/9,0.205860451842,Other
Graduate Student and Pre-Med Coordinator,Washington University in St. Louis,2008/5,6.54558647924,Student
Senior Regional Director,BBYO,2007/6,7.46339469842,Other
Founder,"Quartzy, Inc.",2009/1,5.87435360253,Founder
Co-Founder and CEO,AYisrael LLC,2014/8,0.290791958691,Founder
Venture Associate,Fir Hill LLC,2014/7,0.375723465541,Other
UX Designer,Responsive Path,2014/8,0.290791958691,Designer
Co-Organizer,UX Book Club,2013/12,0.956545383349,Other
Postdoctoral Research Fellow in Microbiology,Mount Sinai School of Medicine,2014/9,0.205860451842,Research
Postdoctoral Fellow in Microbiology and Immunology,Stanford University School of Medicine,2014/4,0.625038534034,Postdoc
Primary Marketing Research,Centene Corporation,2011/5,3.54558647924,Research
Marketing Manager,"Quartzy, Inc",2014/8,0.290791958691,Manager
Training Manager,Maryland Department of Human Resources,2002/9,12.2140796299,Manager
Trainer,Dale Carnegie Training Mid Atlantic Region,1985/9,29.225038534,Other
Lecturer in Leavey School of Business,Santa Clara University,2014/1,0.8716138765,Academia
"Associate Director, Communication Programs and Communications Coach",Stanford Graduate School of Business,2011/12,2.95928510938,Other
Research Assistant,Leonard D. Schaeffer Center for Health Policy and Economics,2013/1,1.8716138765,Research
Editorial board member,Journal of cell science & therapy,2011/12,2.95928510938,Other
Postdoctoral fellow,Stanford University,2011/2,3.78942209568,Postdoc
Research Assistant,"Prevention Research Center St Louis, MO",2012/6,2.45791524636,Research
Phd Candidate,Stanford University,2013/1,1.8716138765,Other
Summer Intern,Nova-HP Teen Center,2011/5,3.54558647924,Intern
Tutor,Varsity Tutors LLC,2009/10,5.12640839705,Other
Student,Washington University in St. Louis,2008/8,6.29353168472,Student
Lecturer in Engineering Communications,Washington University in St. Louis,2008/8,6.29353168472,Engineer
Novelist,Self Employed,2005/1,9.87709332855,Other
"Writing Coach, Freelance Writer, and Writing Consultant",Self Employed,2002/1,12.8798330546,Consultant
Tutor,Kleitz Education Group,1999/1,15.8825727806,Other
NFTY Operations Manager,Union for Reform Judaism,2014/9,0.205860451842,Manager
Director and Lead Educator (part-time),Institute for Modern Judaism,2009/1,5.87435360253,Other
DJ & Event Manager,Noah Zaves DJ Productions,2008/6,6.46065497239,Manager
Financial Advisor,Edward Jones,2011/1,3.87435360253,Other
Senior Analyst,The Advisory Board Company,2014/9,0.205860451842,Other
Scientist II / Microbiome Scientist,NGM Biopharmaceuticals,2014/9,0.205860451842,Scientist
Graduate Student - Electrical Engineering,Stanford University,2011/9,3.20860017787,Student
Graduate Student Researcher,Stanford University,2009/9,5.20860017787,Student
Lean Facilitator,Western States Envelope & Label,2013/10,1.12366867102,Other
Artist,Jenie Gao Studio,2011/10,3.12640839705,Other
Junior Medical Writer,Trilogy Writing and Consulting,2013/12,0.956545383349,Other
Postdoctoral Researcher,Stanford University,2011/6,3.46065497239,Research
National Science Foundation International Research Fellow,MPI-CBG,2013/5,1.54284675321,Intern
Vice President,GEER,2014/10,0.12366867102,Other
Director of Research and Development,MakerBot®,2014/4,0.625038534034,Research
Mechanical Engineer & Experimental Analysis Manager,MakerBot®,2013/6,1.45791524636,Engineer
Mechanical Engineer,Buffalo Dental Manufacturing,2005/1,9.87709332855,Engineer
Wipes Process & Engineering Technical Engineer,Procter & Gamble,2013/10,1.12366867102,Engineer
Postdoctoral Associate,Cornell University,2012/11,2.03873716417,Postdoc
Founder and Co-Host,Goggles Optional,2013/10,1.12366867102,Founder
Postdoctoral Fellow,Stanford University,2013/6,1.45791524636,Postdoc
Ph.D. Candidate,Johns Hopkins School of Medicine,2012/7,2.37572346554,Other
Postdoctoral Fellow,Stanford University School of Medicine,2014/3,0.709970040883,Postdoc
Associate Professor,Stanford University,2010/10,4.12640839705,Academia
Staff Scientist II,Affymetrix,2014/5,0.542846753212,Scientist
Postdoctoral Researcher,Stanford University School of Medicine,2013/5,1.54284675321,Research
Postdoctoral Fellow,Stanford University School of Medicine,2014/8,0.290791958691,Postdoc
Research Professor (0.1 ZAP),Vrije Universiteit Brussel,2014/10,0.12366867102,Research
Postdoctoral researcher,Stanford University,2013/10,1.12366867102,Postdoc
Postdoctoral researcher,Vrije Universiteit Brussel,2010/10,4.12640839705,Postdoc
"Vice President, Clinical Operations","Versartis, Inc",2013/1,1.8716138765,Other
Remediation Project Manager,Chevron Environmental Management Company,2013/11,1.03873716417,PM
VP Program and Process Management,"Audience, Inc.",2014/8,0.290791958691,Other
"Data Analyst, Logistics",Google,2011/1,3.87435360253,Other
Partner,"Salsbury, Clements, Bekman, Marder & Adkins, L.L.C.",1997/1,17.8825727806,Other
Partner,"SCBMA, LLC",1997/1,17.8825727806,Other
Venture Capital Summer Associate,OrbiMed,2014/5,0.542846753212,Other
"Digital Media Consultant, Writer",Freelance,2014/1,0.8716138765,Consultant
Assistant Medical Director,Healthcare Consultancy Group (an Omnicom company),2014/7,0.375723465541,Assistant
Professor,Stanford,2006/7,8.3812029176,Academia
Professor,Stanford University School of Medicine,2006/1,8.87709332855,Academia
PhD Candidate,Stanford University,2010/9,4.20860017787,Student
Technical Writer,Science Exchange,2013/11,1.03873716417,Other
Scientist II - Product Development/Formulation,Johnson & Johnson,2011/9,3.20860017787,Scientist
Graduate Student,Stanford University,2009/1,5.87435360253,Student
Data Scientist,Hampton Creek,2014/9,0.205860451842,Scientist
Product Development Scientist,Counsyl,2013/7,1.37572346554,Scientist
Data Scientist,LinkedIn,2014/6,0.457915246363,Scientist
Senior Scientist,BioMarin,2012/9,2.20586045184,Scientist
Board Member,Maryland Healthcare Coalition Against Domestic Violence,2013/11,1.03873716417,Other
"RN, BSN, FNE-A SAFE Program",GBMC,2013/10,1.12366867102,Other
"RN, BSN, FNE-A, FNE-P SAFE Program",Howard County General Hospital,2013/4,1.62503853403,Other
RN,Northwest Hospital,1978/4,36.6496960683,Other
Program Associate,Helen Keller International,2014/7,0.375723465541,Other
Image Analysis Fellow,Harvard Medical School,2013/6,1.45791524636,Other
Research Fellow,Harvard Medical School,2012/1,2.87435360253,Research
American Cancer Society Postdoctoral Fellow,"Stanford University, School of Medicine",2012/9,2.20586045184,Postdoc
Science Data Librarian (Librarian),Stanford University Libraries,2014/11,0.0387371641708,Other
PhD candidate,Stanford University School of Medicine,2010/9,4.20860017787,Student
eHR RN,Sutter Pacific Medical Foundation,2013/2,1.78668236965,Other
Advisor,BBYO,2010/5,4.54558647924,Other
R&D Scientist,Invitae,2012/12,1.95654538335,Scientist
Graduate Student,Stanford University,2010/9,4.20860017787,Student
Postdoctoral Research Associate,King's College London,2014/7,0.375723465541,Research
Instructional support leader,Chicago Public Schools,2012/8,2.29079195869,Other
Graduate Student,Stanford University,2009/1,5.87435360253,Student
Assistant Professor,UC Davis,2014/9,0.205860451842,Academia
Postdoc,Stanford University,2013/5,1.54284675321,Postdoc
Customer Service Engineer - Orthopedics,Materialise,2013/10,1.12366867102,Engineer
Records Auditor,Kaplan University,2011/8,3.29353168472,Other
Muralist,self employed,2000/5,14.5510659313,Other
Post-doctoral fellow,Stanford University,2013/1,1.8716138765,Postdoc
Senior Mechanical Design Engineer,Tesla Motors,2014/5,0.542846753212,Engineer
Mechanical Design Engineer,Tesla Motors,2010/1,4.87435360253,Engineer
Product Manager,CloudOn,2014/5,0.542846753212,Manager
Postdoctoral Scholar,Stanford University,2010/10,4.12640839705,Postdoc
Social Work Intern,James J. Peters VA Medical Center,2014/9,0.205860451842,Intern
Hospice Volunteer,MJHS,2014/2,0.78668236965,Other
"Manager, Algorithm Development",Stitch Fix,2013/6,1.45791524636,Manager
Graduate Teaching Assistant,Stanford University,2014/9,0.205860451842,Assistant
Biosciences Website Editor,Stanford University School of Medicine,2014/3,0.709970040883,Other
Graduate Student Researcher,Stanford University,2011/8,3.29353168472,Student
Member Technical Staff,Humin,2013/10,1.12366867102,Other
"Market Analyst - International Marketing, Global Faucets",Kohler Co.,2011/1,3.87435360253,Intern
Postdoctoral fellow,Stanford University School of Medicine,2010/4,4.62777826006,Postdoc
Graduate Researcher,Stanford University School of Medicine,2011/9,3.20860017787,Research
Consultant,Sense Corp,2014/7,0.375723465541,Consultant
Civic Scholar,Richard A. Gephardt Institute for Public Service,2011/5,3.54558647924,Other
Head of Marketing,Amplitude Analytics,2014/6,0.457915246363,Other
PhD Candidate,Stanford University,2011/8,3.29353168472,Student
PhD student,Stanford University School of Medicine,2011/6,3.46065497239,Student
Graduate Student,"Deisseroth Lab, Stanford University",2012/4,2.62503853403,Student
Scholar,SPARK,2009/4,5.62777826006,Other
PhD Candidate,"Stanford University, Department of Chemical and Systems Biology",2008/9,6.20860017787,Student
Graduate Student,Stanford University,2010/8,4.29353168472,Student
Neuroscience PhD student,Washington University School of Medicine,2010/7,4.37846319157,Student
Postdoctoral Research Associate,University of Washington,2013/2,1.78668236965,Research
Research Intern,Chicago Health Information Technology Regional Extension Center,2014/5,0.542846753212,Intern
Founder,Music Matters Med,2013/11,1.03873716417,Founder
Medical Student,"Northwestern University, Feinberg School of Medicine",2010/8,4.29353168472,Student
Ph D. student in Chemical Physics,Harvard University,2009/9,5.20860017787,Scientist
Information Services Librarian,Stanford University School of Medicine,1985/12,28.9757234655,Other
Digital Marketing Manager,California Academy of Sciences,2014/6,0.457915246363,Manager
Freelance Consultant,Various Clients,2008/1,6.87709332855,Consultant
Project Manager and Consultant,The BALSA Group,2012/12,1.95654538335,PM
Ph.D. candidate,Washington University in St. Louis,2008/8,6.29353168472,Other
"Attending, Ob Gyn Department",Santa Clara Valley Medical Center,1995/1,19.8853125066,Other
"Production Manager, Scientific Consultant",Partners HealthCare,2013/3,1.70997004088,Manager
Bachelors of Nursing Student,University of Missouri - St. Louis,2013/7,1.37572346554,Student
Research Tech II,Washington University in St. Louis,2013/2,1.78668236965,Research
Graduate Student,"Bioengineering Department, Stanford University",2009/9,5.20860017787,Student
Graduate Research Assistant at the University of Washington,University of Washington,2010/8,4.29353168472,Research
Owner,Rent-My-Bike,2012/7,2.37572346554,Other
Graduate student,"Endy lab, Stanford University",2008/9,6.20860017787,Other
Fellow,"Center for Molecular Analysis and Design, Stanford University",2012/9,2.20586045184,Other
Postdoctoral Fellow,Stanford University,2011/1,3.87435360253,Postdoc
Stanford Biosciences Student Association - President,Stanford University,2014/6,0.457915246363,Student
Community Associate Program Treasurer - Rains Houses,Stanford University,2014/6,0.457915246363,Other
PhD Candidate,Stanford University,2011/9,3.20860017787,Student
Resident Physician,Baylor College of Medicine,2014/1,0.8716138765,Scientist
Data Scientist,Sproutling,2013/9,1.20586045184,Scientist
Elementary School Teacher,Metro Nashville Public Schools,2010/1,4.87435360253,Other
Lead Scientist,University of Heidelberg,2013/4,1.62503853403,Scientist
Customer Success Representative,"Quartzy, Inc",2014/7,0.375723465541,Other
Community Operations Manager,Uber,2014/8,0.290791958691,Manager
Physical Therapist,Indiana University Health,2013/7,1.37572346554,Scientist
Social Media Apprentice/Blog Writer,Human Health Project,2014/10,0.12366867102,Other
Ph.D Candidate,UC Davis,2010/6,4.46065497239,Other
Graduate Student,Stanford University,2010/9,4.20860017787,Student
PhD student,Carnegie Mellon University,2012/8,2.29079195869,Student
Project Manager,The BALSA Group,2011/6,3.46065497239,PM
Graduate Research Assistant,Washington University in St. Louis,2010/9,4.20860017787,Research
Statistician / Data Manager,Stanford University School of Medicine,2012/3,2.70997004088,Manager
Graduate Teaching Assistant,University of Virginia,2014/1,0.8716138765,Assistant
Ph.D. Candidate,University of Virginia,2012/8,2.29079195869,Other
Product Director,Operation Shower,2012/3,2.70997004088,Other
Graduate Student,Stanford University,2010/9,4.20860017787,Student
Director of Marketing Communications,Lam Research,2013/1,1.8716138765,Other
PhD Candidate,Stanford University,2010/8,4.29353168472,Student
PhD Candidate in Biophysics,Stanford University School of Medicine,2010/9,4.20860017787,Student
Biology Ph.D. Candidate,Harvard University,2014/8,0.290791958691,Other
Research Scientist,DuPont Pioneer,2011/10,3.12640839705,Research
Science Teacher at Lanier High School,San Antonio ISD,2013/8,1.29079195869,Other
2013 San Antonio Corps Member,Teach For America,2013/1,1.8716138765,Other
"Program Assistant, Diller Teen Initiatives","Jewish Community Federation of San Francisco, the Peninsula, Marin and Sonoma Counties",2013/5,1.54284675321,Assistant
Museum Educator,The Contemporary Jewish Museum,2012/8,2.29079195869,Other
Senior Process Engineer,Intel Corporation,2013/7,1.37572346554,Engineer
Founder,JetLink Prime,2014/2,0.78668236965,Founder
Associate Professor of Biomedical Engineering,Washington University in St. Louis,2012/1,2.87435360253,Engineer
Server,J.Buck's in Clayton,2011/4,3.62777826006,Other
Graphic Designer and Administrative Assistant,Berkeley Center for Law & Technology,2013/9,1.20586045184,Designer
Graphic Designer,Berkeley Hillel,2013/9,1.20586045184,Designer
Senior Staff Member,Camp Ramah California,2012/6,2.45791524636,Other
Senior Specialist,Alzheimer's Impact Movement,2013/6,1.45791524636,Other
"Senior Specialist, Federal Affairs",Alzheimer's Association,2012/11,2.03873716417,Other
PhD Candidate,Stanford University,2011/1,3.87435360253,Student
Graduate Student,Stanford University School of Medicine,2009/9,5.20860017787,Student
Teen Program Manager,Oshman Family JCC,2013/5,1.54284675321,PM
Summer Associate,Katten Muchin Rosenman LLP,2014/5,0.542846753212,Other
Biodesign Innovation Project,Stanford University,2014/1,0.8716138765,Other
Research Assistant,Stanford University,2010/11,4.0414768902,Research
Postdoctoral Research Fellow,Stanford University School of Medicine,2011/2,3.78942209568,Research
Research Intern,Elance-oDesk,2014/6,0.457915246363,Intern
Business and Systems Integration Consultant,Accenture,2012/10,2.12366867102,Consultant
Postdoctoral Scholar,Stanford University,2014/9,0.205860451842,Postdoc
Graduate Student,Stanford University School of Medicine,2009/9,5.20860017787,Student
"Senior Engineer, Research",Illumina,2013/2,1.78668236965,Research
VP of Board of Directors,Card Care Connection,2013/5,1.54284675321,Other
Technical Services,Epic,2012/6,2.45791524636,Other
Medical Scientist Training Program Fellow,Case Western Reserve University School of Medicine,2012/7,2.37572346554,Scientist
Associate Food Scientist,Fuchs North America,2014/9,0.205860451842,Scientist
Paralegal,ACLU of Missouri,2013/8,1.29079195869,Other
Development Associate,Brighter Beginnings,2014/7,0.375723465541,Other
Senior Manager Business Analytics,Consensus Corporation,2014/8,0.290791958691,Manager
Student Investigator,SPARK at Stanford,2013/6,1.45791524636,Student
Graduate Student,Stanford University School of Medicine,2011/9,3.20860017787,Student
Fellow,California Council on Science and Technology,2014/7,0.375723465541,Other
"Genetic Counselor, Division of Clinical Cancer Genetics",City of Hope,2012/7,2.37572346554,Other
Ph.D student in Biology (Eco/Evo),Stanford University,2010/8,4.29353168472,Other
Graduate Student in Immunology,Stanford University,2011/9,3.20860017787,Student
Graduate Student,Duke University,2009/1,5.87435360253,Student
Tax Consultant,Deloitte,2014/1,0.8716138765,Consultant
Technical Program Manager,Google,2014/3,0.709970040883,PM
Therapist,"Family Counseling Center, Inc",2013/4,1.62503853403,Other
"ELC Coordinator, Clinical Consultant",Shrewsbury Public Schools,2013/1,1.8716138765,Consultant
Postdoctoral Researcher,University of Washington,2014/8,0.290791958691,Research
Biology Teacher,Baltimore County Public Schools,2011/7,3.37846319157,Other
Department Chair Science and Agriculture,Baltimore County Public Schools,2011/7,3.37846319157,Other
Genetics graduate student in Dr. Anne Brunet's lab at Stanford University,Stanford University School of Medicine,2011/8,3.29353168472,Other
Member of team XP,SPARK drug discovery program,2013/1,1.8716138765,Other
PhD student,Stanford University,2008/8,6.29353168472,Student
"Student Life Manager, Office of Medical Student Affairs",Stanford University School of Medicine,2010/7,4.37846319157,Student
Biosciences Graduate Student,Stanford University,2010/8,4.29353168472,Student
"Marketing Communications, Biologics",Biomet,2013/11,1.03873716417,Other
Internal Medicine Intern,Texas Tech University Health Sciences Center,2014/5,0.542846753212,Intern
Owner,Blushing Berry,2004/8,10.2962714107,Other
Coach & Personal Trainer,No Risk Crossfit,2013/6,1.45791524636,Other
"Visual Art Instructor, High School",Needham Public Schools,2012/7,2.37572346554,Academia
Freelance Illustrator and Designer,www.snowwhitepowers.com,2008/8,6.29353168472,Designer
Post-doctoral fellow,National Institutes of Health,2013/4,1.62503853403,Postdoc
"Graduate Student, Chemical & System Biology",Stanford University School of Medicine,2012/9,2.20586045184,Student
Math tutor,Study Hall,2013/9,1.20586045184,Other
Watershed Coordinator,CNMI Division of Environmental Quality,2012/1,2.87435360253,Other
Graduate student,Stanford University School of Medicine,2008/9,6.20860017787,Other
PhD Candidate,Stanford University School of Medicine,2010/9,4.20860017787,Student
Associate Specialist,NACCHO,2013/12,0.956545383349,Other
Student,Columbia Law School,2012/8,2.29079195869,Student
Postdoctoral Scholar,Stanford University School of Medicine,2013/1,1.8716138765,Postdoc
"Cofounder, Lead on Chemistry",EarthEnable,2013/6,1.45791524636,Founder
Ph.D. Candidate,Stanford University School of Medicine,2009/1,5.87435360253,Other
Associate,McKinsey & Company,2014/1,0.8716138765,Other
"Assistant Professor, Dept. of Chemical and Systems Biology",Stanford University,2011/8,3.29353168472,Academia
Systems Engineer,Johns Hopkins University Applied Physics Laboratory,2010/7,4.37846319157,Engineer
Developmental Biology PhD,Stanford University,2010/9,4.20860017787,Student
Postdoctoral Researcher,Stanford University Microbiology and Immunology Department,2014/1,0.8716138765,Research
Doctoral Candidate,"Stanford School of Medicine, Department of Genetics",2010/1,4.87435360253,Other
Associate Substation Test Specialist,Pacific Gas and Electric Company,2014/8,0.290791958691,Other
PhD Candidate,Stanford University,2010/9,4.20860017787,Student
Resident physican,Saint Louis University,2013/6,1.45791524636,Other
