JobTitle,Company,StartDate,EndDate,Duration,Location,Duration_months,JobType
Summer Intern,INRIA Rhone-Alpes,May 2001,July 2001,3 months,"Grenoble Area, France",0.25,Intern
Process Technology Development Engineer,Intel,April 2011,Present,3 years 8 months,"Santa Clara, California",3.66666666667,Engineer
Graduate Student Researcher,Lawrence Berkeley National Laboratory,August 2004,May 2010,5 years 10 months,"Berkeley, California",5.83333333333,Student
Research Assistant,Jefferson Lab,June 2003,August 2003,3 months,"Norfolk, Virginia",0.25,Research
Head of Business Development and Marketing,ScalingData,2014,Present,less than a year,Silicon Valley,-1.0,Other
Engineering Futures Facilitator,Tau Beta Pi,2001,Present,13 years,"San Jose, CA",13.0,Engineer
Director of Business Development / Alliances,Datameer,2011,2012,1 year,"San Mateo, CA",1.0,Other
Business Development Partner,Parasians,2009,2012,3 years,"Mountain View / NY.P.D. -- NYC, Philadelphia, DC",3.0,Other
Sr Middleware Technology Specialist,TELUS,August 2010,December 2013,3 years 5 months,"Vancouver, Canada Area",3.41666666667,Other
Environment Infrastructure Support,Rogers Communications Inc.,2009,2010,1 year,"Toronto, Canada Area",1.0,Other
Environment Manager Prime,Bell Canada,2008,2009,1 year,"Toronto, Canada Area",1.0,Manager
Field Applications Engineer,TierOne OSS Technologies,2006,2008,2 years,"Toronto, Canada Area",2.0,Engineer
Wireless Analyst (ITServices),University of British Columbia,2005,2005,less than a year,"Vancouver, Canada Area",-1.0,Other
Media and Communications Assistant (ITServices),University of British Columbia,2005,2005,less than a year,"Vancouver, Canada Area",-1.0,Assistant
"Assistant Group Leader, Technical Support (ITServices)",University of British Columbia,2002,2005,3 years,"Vancouver, Canada Area",3.0,Assistant
Applications Engineer,"PMC-Sierra, Inc",July 2000,September 2000,3 months,"Vancouver, Canada Area",0.25,Engineer
Chief Technology Officer,Comergent,1998,1999,1 year,"Redwood Shores, CA",1.0,Other
Web Developer,Lawrence Berkeley National Laboratory,October 2014,Present,2 months,"Berkeley, CA",0.166666666667,Other
Postdoc,HP Labs,January 2012,October 2012,10 months,"Gaithersburg, MD",0.833333333333,Postdoc
Associate Professor,Georgia Institute of Technology,March 2013,Present,1 year 9 months,"Cambridge, MA",1.75,Academia
Senior Process Engineer,Intel Corporation,March 2013,Present,1 year 9 months,"Santa Clara, CA",1.75,Engineer
Graduate Research Assistant,Northwestern University,September 2007,December 2012,5 years 4 months,"Evanston, IL",5.33333333333,Research
Center Associate in NUANCE Center,Northwestern University,December 2007,April 2009,1 year 5 months,"Evanston, IL",1.41666666667,Other
"software engineer, Enterprise Business Operations",Hewlett-Packard,November 2005,Present,9 years 1 month,Arts and Culture,9.08333333333,Other
Mechanical Engineer,Fluor Canada Ltd,February 2006,Present,8 years 10 months,"Arequipa, Peru",8.83333333333,Engineer
Radio Frequency Perforation Engineering Student,Baylis Medical Company,September 2004,December 2004,4 months,"Toronto, Canada Area",0.333333333333,Student
Mill Engineering Student,Highland Valley Copper,May 2004,August 2004,4 months,"Logan Lake, BC",0.333333333333,Student
Reservoir Engineering Student,Petro-Canada,January 2003,August 2003,8 months,"Calgary, Canada Area",0.666666666667,Student
Research Associate,MIT,1993,Present,21 years,"Cambridge, MA",21.0,Research
Postoctoral Fellow,Harvard University,September 2013,Present,1 year 3 months,"Cambridge, MA",1.25,Other
Graduate Student,MIT,September 2007,August 2013,6 years,"Cambridge, MA",6.0,Student
Sr UI Developer,Macy&#39;s,October 2014,Present,2 months,"San Francisco, CA",0.166666666667,Other
UI Developer,Macy&#39;s,May 2013,October 2014,1 year 6 months,San Francisco,1.5,Other
Donor Relations Assistant,The San Francisco Foundation,April 2011,July 2012,1 year 4 months,San Francisco,1.33333333333,Assistant
Research assistant,"Department of Physics, Harvard University",January 2006,August 2006,8 months,Greater Boston Area,0.666666666667,Research
Sensor Development Technician,2G Robotics,July 2012,Present,2 years 5 months,"Waterloo, Ontario",2.41666666667,Other
Product Manager,Real Matters,April 2013,Present,1 year 8 months,Markham,1.66666666667,Manager
Research Assistant,Harvard University,July 2010,Present,4 years 5 months,"Cambridge, MA",4.41666666667,Research
System Engineer Intern,Texas Instruments,May 2012,August 2012,4 months,Dallas/Fort Worth Area,0.333333333333,Intern
Associate Principal,McKinsey &amp; Company,2014,Present,less than a year,Greater Denver Area,-1.0,Other
Mixed Signal Design Engineer,Intel Corp.,July 1997,April 2014,16 years 10 months,"Santa Clara, CA",16.8333333333,Engineer
Team Leader,Novo Nordisk,November 2014,Present,1 month,"Copenhagen Area, Denmark",0.0833333333333,Other
Senior R&amp;D Engineer,Novo Nordisk A/S,December 2012,October 2014,1 year 11 months,"Brennum Park, Hillerød, Denmark",1.91666666667,Engineer
Research Scientist,MIT,October 2012,December 2012,3 months,"Århus Area, Denmark",0.25,Research
Postdoc,UC Berkeley,September 2009,May 2014,4 years 9 months,"Innsbruck, Austria",4.75,Postdoc
Postdoc,ETH Zurich,November 2007,February 2008,4 months,"Zurich, Switzerland",0.333333333333,Postdoc
PhD Candidate Electrical Engineering,ETH Zurich,April 2010,Present,4 years 8 months,Zurich,4.66666666667,Student
President,Telejob,January 2013,Present,1 year 11 months,Zurich,1.91666666667,Other
Teaching Assistant - Electronics Laboratory,ETH Zurich,September 2005,February 2006,6 months,Zurich,0.5,Assistant
Software Engineer,Endeca,June 2007,August 2007,3 months,"Cambridge, MA",0.25,Software Eng
Mechanical Design Engineer,MistyWest Energy and Transport,December 2012,Present,2 years,"Vancouver, Canada Area",2.0,Engineer
Engineer,Williams Engineering Canada Inc.,July 2014,Present,5 months,"Abbottsford, BC",0.416666666667,Engineer
Project Engineer,MMM Group,October 2008,July 2014,5 years 10 months,Science and Technology,5.83333333333,Engineer
Graduate Student,MIT,2007,Present,7 years,"Cambridge, MA",7.0,Student
Volunteer,IEEE,September 2002,Present,12 years 3 months,"Rio de Janeiro, Brazil &amp; Cambridge, MA, USA.",12.25,Other
Software development intern,Seeq Corporation,April 2014,July 2014,4 months,remote,0.333333333333,Intern
Software development intern,OpenStack,May 2013,September 2013,5 months,"New Haven, Connecticut, USA",0.416666666667,Intern
High energy physics research student,Massachusetts Institute of Technology (MIT),January 2001,May 2002,1 year 5 months,"Cambridge, Massachusetts, USA",1.41666666667,Other
Condensed matter physics research intern,IBM,June 2001,August 2001,3 months,"IBM Almaden Research Center | San Jose, California, USA",0.25,Intern
Optics research intern,Sun Microsystems,June 2000,August 2000,3 months,"Mountain View, California, USA",0.25,Intern
Senior Project Engineer,AltaLink,March 2014,Present,9 months,"Calgary, Canada Area",0.75,Engineer
Senior Conceptual Engineer/Power System Engineer,AltaLink,February 2012,March 2014,2 years 2 months,"Calgary, Canada Area",2.16666666667,Engineer
Geointelligence Analysis Intern,Skybox Imaging,June 2014,Present,6 months,"Mountain View, CA",0.5,Intern
"Director, People / HRBP",Rocket Fuel Inc.,2013,Present,1 year,"Redwood Shores, CA",1.0,Other
"Executive Director, Co-Founder, Board of Directors",BioCurious,2009,2014,5 years,"Sunnyvale, CA",5.0,Founder
Head of People Operations &amp; Talent Acquisition (Consultant),Singularity University,2012,2013,1 year,"Mountain View, NASA/Ames Campus",1.0,Other
"Senior Consultant, People Team",Rocket Fuel Inc.,2011,2013,2 years,"Redwood Shores, CA",2.0,Other
HR Executive / Principal Consultant,Kristina Hathaway Consulting,2010,2013,3 years,San Francisco Bay Area,3.0,Other
"VP, People and Talent (Consultant)",Station X,2010,2013,3 years,"Redwood City, CA",3.0,Other
"Vice President, Life Sciences",Sage Human Capital,2010,2011,1 year,"San Bruno, CA",1.0,Other
"Director, Human Resources",UBC Clinical Technologies (now Bracket),2009,2010,1 year,"San Francisco, CA",1.0,Other
"Director, Human Resources",Tercica (now Ipsen),2009,2009,less than a year,"Brisbane, CA (Company Headquarters in Paris, France)",-1.0,Other
Principal Consultant,Kristina Hathaway Consulting,2008,2009,1 year,"Mountain View, CA",1.0,Other
Product Engineer,Lam Research,August 2014,Present,4 months,"Fremont, CA",0.333333333333,Engineer
Postdoctoral Fellow,Lawrence Berkeley National Laboratory,November 2012,Present,2 years 1 month,Berkeley,2.08333333333,Postdoc
Research Associate,Stanford University,May 2009,October 2012,3 years 6 months,Stanford,3.5,Research
PhD Student,The University of British Columbia,2005,2010,5 years,"Vancouver, Canada Area",5.0,Student
Ph.D. Candidate / Research Assistant,Massachusetts Institute of Technology (MIT),September 2007,Present,7 years 3 months,"Cambridge, MA, USA",7.25,Research
Co-Director of Marketing,MIT Sustainability Summit,2010,Present,4 years,"Cambridge, MA, USA",4.0,Other
Business Systems Integrator,Google,December 2012,Present,2 years,"Mountain View, CA",2.0,Other
Senior Systems Analyst,Qualcomm,January 2008,November 2012,4 years 11 months,"San Diego, CA, USA",4.91666666667,Other
Leaders of Tomorrow Program (LOT),Vancouver Board of Trade,June 2007,May 2008,1 year,"Vancouver, British Columbia, Canada",1.0,Other
Associate Professor,University of Guelph,July 2014,Present,5 months,"Waterloo, Ontario, Canada",0.416666666667,Academia
Adjunct Assistant Professor,University of Waterloo,January 2013,Present,1 year 11 months,"Waterloo, Ontario, Canada",1.91666666667,Academia
Affiliate Faculty,Perimeter Institute,March 2011,Present,3 years 9 months,"Waterloo, Ontario, Canada",3.75,Other
Postdoctoral Fellow,University of Waterloo,September 2009,August 2010,1 year,"Waterloo, Ontario, Canada",1.0,Postdoc
Scientist Oncology Discovery,Merck,January 2012,Present,2 years 11 months,Greater Boston Area,2.91666666667,Scientist
Senior Associate Scientist,Pfizer,June 2010,October 2011,1 year 5 months,"Cambridge, MA",1.41666666667,Scientist
"Senior Manager, Operations &amp; Co-Founder",Boreal Genomics,2014,Present,less than a year,San Francisco Bay Area,-1.0,Founder
Head of Manufacturing &amp; Co-Founder,Boreal Genomics,2010,2014,4 years,"Vancouver, Canada",4.0,Founder
Research Engineer &amp; Co-Founder,Boreal Genomics,2007,2010,3 years,"Vancouver, Canada",3.0,Research
Postdoctoral Scientist,Agilent Technologies,May 2013,Present,1 year 7 months,"Berkeley, CA",1.58333333333,Postdoc
Research Scientist/Systems Engineer,Agilent Technologies,October 2011,Present,3 years 2 months,Santa Clara,3.16666666667,Research
Manager,LEVEL Studios,June 2014,Present,6 months,"San Jose, California",0.5,Manager
"Interactive Designer, Contractor",LEVEL Studios,August 2013,Present,1 year 4 months,San Francisco Bay Area,1.33333333333,Designer
Senior Designer/Art Director,Stanford Graduate School of Business,December 2012,June 2013,7 months,"Stanford, CA",0.583333333333,Designer
Associate Director of Sustainability &amp; Design for Good Co-Lead,AIGA Minnesota,April 2011,October 2012,1 year 7 months,"Minneapolis, MN",1.58333333333,Other
Interactive Art Director and Designer,Target Corp,2011,June 2012,1 year,"Minneapolis, MN",1.0,Designer
Art Director and Graphic Designer,Target,January 2007,August 2011,4 years 8 months,"Minneapolis, MN",4.66666666667,Designer
Intern,Rita Project Inc.,2003,2004,1 year,"New York, NY",1.0,Intern
Information Security Analyst,Accenture,2011,2011,less than a year,"Boston, MA",-1.0,Other
Software Engineering Intern,Apple Inc.,June 2010,September 2010,4 months,"Cupertino, CA",0.333333333333,Intern
Software Engineering Intern,Apple Inc.,June 2009,August 2009,3 months,"Cupertino, CA",0.25,Intern
Arts &amp; Entertainment Multimedia Account Executive,Boston Herald,May 2014,Present,7 months,"Boston, MA",0.583333333333,Other
Vice President,Cambridge Symphony Orchestra,July 2012,Present,2 years 5 months,"Cambridge, MA",2.41666666667,Other
Marketing and Publicity,Cambridge Symphony Orchestra,July 2009,Present,5 years 5 months,"Cambridge, MA",5.41666666667,Other
Board of Directors,Cambridge Symphony Orchestra,July 2003,Present,11 years 5 months,"Cambridge, MA",11.4166666667,Other
Co-Creator for Boston Herald&#39;s State of the Arts Blog,Boston Herald,February 2013,Present,1 year 10 months,"Boston, MA",1.83333333333,Other
Contributor to BostonHerald.com&#39;s State of the Arts Blog,Cambridge Symphony Orchestra,February 2013,Present,1 year 10 months,"Cambridge, MA",1.83333333333,Other
Digital Executive,Boston Herald,July 2012,October 2014,2 years 4 months,"Boston, MA",2.33333333333,Other
Account Executive for Jobfind in partnership with Monster,Boston Herald,November 2004,August 2012,7 years 10 months,"Boston, MA",7.83333333333,Other
Nominating Committee Chair,Cambridge Symphony Orchestra,July 2005,June 2010,5 years,"Cambridge, MA",5.0,Other
Chamber Music Chair,Cambridge Symphony Orchestra,July 2003,June 2010,7 years,"Cambridge, MA",7.0,Other
Co-Owner and Buyer,Big Emma&#39;s New and Used Laserdiscs,May 1998,November 2004,6 years 7 months,"Boston, MA",6.58333333333,Other
Senior Data Scientist,Netflix,August 2014,Present,4 months,"Palo Alto, CA",0.333333333333,Scientist
Physics Graduate Student,UC Berkeley,September 2008,June 2014,5 years 10 months,"Berkeley, CA",5.83333333333,Student
Doctoral Candidate,Harvard University,September 2008,Present,6 years 3 months,"Cambridge, MA",6.25,Other
Teaching Fellow,Harvard University,January 2014,May 2014,5 months,"Cambridge, MA",0.416666666667,Other
Resident Advisor,Harvard University,August 2009,August 2011,2 years 1 month,"Cambridge, MA",2.08333333333,Other
Research Assistant,University of Toronto,May 2008,August 2008,4 months,"Toronto, Canada",0.333333333333,Research
Research Assistant,TRIUMF,May 2007,August 2007,4 months,"Vancouver, Canada",0.333333333333,Research
Research Assistant,Argonne National Laboratory,May 2006,August 2006,4 months,"Argonne, IL",0.333333333333,Research
Research Assistant,Dalhousie University,May 2005,August 2005,4 months,"Halifax, Canada",0.333333333333,Research
Associate,Bank of America Merrill Lynch,August 2012,Present,2 years 4 months,"New York, NY",2.33333333333,Other
Simulation Consultant,Ausenco,October 2012,Present,2 years 2 months,"Vancouver, BC",2.16666666667,Other
CEO and Co-founder,VitalMedicals,August 2013,Present,1 year 4 months,San Francisco Bay Area,1.33333333333,Founder
Development Manager,en world Japan K.K.,2008,March 2012,4 years,"Tokyo, Japan",4.0,Manager
Founder and Director,OneWorld Communications,January 2006,March 2012,6 years 3 months,"Tokyo, Japan",6.25,Founder
Research Manager,Intellectual Ventures,August 2012,June 2013,11 months,"Bellevue, WA",0.916666666667,Research
Research Scientist,Intellectual Ventures,October 2010,August 2012,1 year 11 months,"Bellevue, WA",1.91666666667,Research
Staff Process Development Engineer,Lam Research,April 2013,Present,1 year 8 months,"Tualatin, OR",1.66666666667,Engineer
Research Assistant,Georgia Tech Research Institute,January 2008,March 2013,5 years 3 months,"Atlanta, GA",5.25,Research
Sr. Software Engineer,Novellus Systems,October 2001,July 2007,5 years 10 months,"Tualatin, OR",5.83333333333,Software Eng
Research Assistant,University of Alabama at Birmingham,August 1999,July 2001,2 years,Center of Telecommunication Research and Education,2.0,Research
Senior Research Director,Sentis Market Research Inc.,October 2014,Present,2 months,"Vancouver, Canada Area",0.166666666667,Research
Research Scientist,Intel Labs,September 2014,Present,3 months,"Santa Clara, California",0.25,Research
Research Assistant,Indiana University,January 2012,September 2014,2 years 9 months,"Bloomington, Indiana",2.75,Research
Ph.D. Student,Indiana University,August 2008,September 2014,6 years 2 months,"Bloomington, Indiana",6.16666666667,Student
Research Engineering Intern,Mozilla Corporation,May 2012,August 2012,4 months,"Mountain View, California",0.333333333333,Intern
Associate Instructor,Indiana University,August 2011,December 2011,5 months,"Bloomington, Indiana",0.416666666667,Academia
Research Engineering Intern,Mozilla Corporation,March 2011,August 2011,6 months,"Mountain View, California",0.5,Intern
Research Assistant,Indiana University,August 2010,December 2010,5 months,"Bloomington, Indiana",0.416666666667,Research
Software Engineer Intern,GrammaTech,May 2010,August 2010,4 months,"Ithaca, New York",0.333333333333,Intern
Associate Instructor,Indiana University,January 2009,May 2010,1 year 5 months,"Bloomington, Indiana",1.41666666667,Academia
Associate Project Manager,"Bedford, Freeman &amp; Worth Publishing Group",July 2006,June 2008,2 years,"New York and Portland, Oregon",2.0,PM
Web Designer/Developer,IBCTV,August 2004,June 2006,1 year 11 months,"Chicago and Portland, OR",1.91666666667,Designer
Instructor,iD Tech Camps,June 2004,August 2004,3 months,"Evanston, Illinois",0.25,Academia
Instructor,iD Tech Camps,June 2003,August 2003,3 months,"Austin, Texas",0.25,Academia
Intern,Grant Park Music Festival,June 2002,August 2002,3 months,Chicago,0.25,Intern
Senior Process Engineer,Intel Corporation,August 2012,Present,2 years 4 months,Hillsboro,2.33333333333,Engineer
Doctoral Candidate,Massachusetts Institute of Technology (MIT),September 2009,June 2012,2 years 10 months,Greater Boston Area,2.83333333333,Other
Quantitative Research Intern,"Loomis, Sayles &amp; Company",June 2011,August 2011,3 months,Greater Boston Area,0.25,Intern
Materials Scientist (Intern),Tokyo Electric Power Company,June 2009,August 2009,3 months,"Kawasaki, Kanagawa, Japan",0.25,Intern
Research Assistant,Massachusetts Institute of Technology (MIT),September 2007,August 2009,2 years,Greater Boston Area,2.0,Research
Fluid Mechanics Researcher (Intern),TU Braunschweig,May 2006,July 2006,3 months,"Braunschweig Area, Germany",0.25,Intern
Assistant Professor of Physics,The Citadel,August 2011,Present,3 years 4 months,"Charleston, South Carolina",3.33333333333,Academia
Postdoc and Lecturer,The University of Texas at Austin,May 2009,August 2011,2 years 4 months,"Austin, TX",2.33333333333,Postdoc
PTD Module &amp; Yield Integration Engineer,Intel Corporation,August 2014,Present,4 months,"Hillsboro, OR",0.333333333333,Engineer
Graduate Student,JILA,June 2009,June 2014,5 years 1 month,"Boulder, CO",5.08333333333,Student
Professor,Duke University,July 2013,Present,1 year 5 months,"Durham, NC",1.41666666667,Academia
Postdoctoral Associate,MIT,June 2012,Present,2 years 6 months,MIT,2.5,Postdoc
Module Integration and Yield Engineer,Intel Corporation,August 2014,Present,4 months,"Hillsboro, OR",0.333333333333,Engineer
Graduate research assistant,"JILA, NIST and University of Colorado at Boulder Physics Dept",August 2008,May 2014,5 years 10 months,"Boulder, CO",5.83333333333,Other
Research assistant,MIT,January 2007,May 2008,1 year 5 months,Greater Boston Area,1.41666666667,Research
DAAD RISE research assistant,University of Stuttgart,June 2006,August 2006,3 months,"Stuttgart Area, Germany",0.25,Other
NSF REU Research assistant,The College of Wooster,May 2005,August 2005,4 months,"Wooster, OH",0.333333333333,Research
Lead Product Manager,"Better Finance, Inc. (formerly BillFloat, Inc.)",December 2013,Present,1 year,San Francisco Bay Area,1.0,Manager
Product Manager,BillFloat,2012,Present,2 years,San Francisco Bay Area,2.0,Manager
Board Member,Vancouver Enterprise Forum,January 2011,June 2012,1 year 6 months,"Vancouver, Canada Area",1.5,Other
Director,VEF Momentum,March 2010,June 2012,2 years 4 months,"Vancouver, Canada Area",2.33333333333,Other
Leaders of Tomorrow,Vancouver Board of Trade,September 2009,August 2010,1 year,"Vancouver, Canada Area",1.0,Other
Engineering Planner / Business Analyst (Internship),TELUS Communications,May 2008,December 2008,8 months,"Vancouver, Canada Area",0.666666666667,Intern
Research Engineer (Internship),TRIUMF,January 2007,May 2007,5 months,"Vancouver, BC",0.416666666667,Intern
Engineer,IBM,September 2013,Present,1 year 3 months,"Albany, New York Area",1.25,Engineer
Graduate Research Assistant,Massachusetts Institute of Technology,September 2008,July 2013,4 years 11 months,"Cambridge, MA",4.91666666667,Research
Member of Technical Staff - HPC and Algorithms,Skytree - The Machine Learning Company&#xae;,April 2014,Present,8 months,san francisco bay area,0.666666666667,Other
Postdoctoral Research Scientist (Physics),Columbia University,September 2011,January 2013,1 year 5 months,greater new york city area,1.41666666667,Research
Simulation Consultant,Ausenco,July 2008,Present,6 years 5 months,"Vancouver, BC",6.41666666667,Other
Graduate Research Assistant,Massachusetts Institute of Technology (MIT),September 2008,Present,6 years 3 months,Research Laboratory of Electronics,6.25,Research
Teaching Assistant,Massachusetts Institute of Technology (MIT),September 2012,Present,2 years 3 months,Department of Electrical Engineering and Computer Science,2.25,Assistant
Undergraduate Research Assistant,The University of British Columbia,May 2007,August 2007,4 months,Advanced Materials and Process Engineering Laboratory,0.333333333333,Research
Graduate Research Assistant,The University of British Columbia,May 2006,December 2006,8 months,Department of Physics and Astronomy,0.666666666667,Research
"Graduate Student, PhD candidate",MIT,August 2011,Present,3 years 4 months,70 Vassar Street,3.33333333333,Student
Postdoc,Sandia National Laboratories,August 2013,Present,1 year 4 months,"Albuquerque, New Mexico Area",1.33333333333,Postdoc
Postdoctoral Research Scholar,Stanford University School of Medicine,2012,Present,2 years,Ji Lab,2.0,Research
Senior Software Engineer,LinkedIn,January 2013,Present,1 year 11 months,San Francisco Bay Area,1.91666666667,Software Eng
Senior Product Manager,@WalmartLabs,2010,Present,4 years,"San Bruno, CA",4.0,Manager
Postdoctoral Fellow,Harvard University,January 2012,Present,2 years 11 months,"Cambridge, MA",2.91666666667,Postdoc
Process Engineer,Intel Corporation,July 2013,Present,1 year 5 months,"santa clara, california",1.41666666667,Engineer
Resident Assistant,University of Texas at Austin,August 2004,May 2007,2 years 10 months,"Austin, Texas, USA",2.83333333333,Assistant
Research Assistant,Penn State University,May 2006,August 2006,4 months,"Hershey, PA, USA",0.333333333333,Research
Research Assistant,Penn State University,May 2005,August 2005,4 months,"Hershey, PA, USA",0.333333333333,Research
Research Assistant,Baylor College of Medicine,May 2004,August 2004,4 months,"Houston, Texas, USA",0.333333333333,Research
Research Assistant,Texas A&amp;M Health Science Center,December 2002,August 2003,9 months,"Houston, Texas, USA",0.75,Research
Senior Physicist,Triple Ring Technologies,March 2014,Present,9 months,"Newark, CA",0.75,Scientist
Postdoctoral Research Fellow,Merck,May 2013,Present,1 year 7 months,"Palo Alto, California",1.58333333333,Research
Postdoctoral Research Fellow,The University of British Columbia,October 2012,June 2013,9 months,"Vancouver, Canada Area",0.75,Research
PhD Candidate in Experimental Medicine,The University of British Columbia,September 2007,October 2012,5 years 2 months,"Vancouver, Canada Area",5.16666666667,Student
Student Manager,UBC International Peer Program,March 2007,April 2008,1 year 2 months,"Vancouver, Canada Area",1.16666666667,Student
Surgery Summer Research Assistant,The University of British Columbia,May 2007,August 2007,4 months,"Vancouver, Canada Area",0.333333333333,Research
Pharmacology Co-op Student,Angiotech,May 2006,December 2006,8 months,"Vancouver, Canada Area",0.666666666667,Student
Microbiology Directed Studies Student,The University of British Columbia,September 2005,April 2006,8 months,"Vancouver, Canada Area",0.666666666667,Student
Molecular Airway Co-op Student,"James Hogg Research Centre, St. Paul&#39;s Hospital",January 2005,August 2005,8 months,"Vancouver, Canada Area",0.666666666667,Student
Postdoctoral Fellow Systems Engineering,Agilent Technologies,July 2012,July 2013,1 year 1 month,Santa Clara,1.08333333333,Postdoc
Scientific Assistant,"Laser Zentrum Hannover, e.V.",August 2005,July 2006,1 year,"Hannover Area, Germany",1.0,Assistant
Mechanical Engineering Co-op Student,"Suncor Energy, Inc",September 2004,December 2004,4 months,"Fort McMurray, Alberta, Canada",0.333333333333,Student
